,Quarter,Tm,Detail,IND,BUF
0,1.0,Colts,Dean Biasucci 31 yard field goal,3,0
1,1.0,Colts,Chris Chandler 1 yard rush (Dean Biasucci kick),10,0
2,2.0,Colts,Clarence Verdin 39 yard pass from Gary Hogeboom (Dean Biasucci kick),17,0
3,2.0,Bills,Ronnie Harmon 26 yard pass from Jim Kelly (Scott Norwood kick),17,7
4,3.0,Bills,Andre Reed 16 yard pass from Jim Kelly (Scott Norwood kick),17,14
5,3.0,Colts,Dean Biasucci 40 yard field goal,20,14
6,3.0,Bills,Andre Reed 12 yard pass from Jim Kelly (Scott Norwood kick),20,21
7,4.0,Colts,Dean Biasucci 22 yard field goal,23,21
8,4.0,Bills,Scott Norwood 45 yard field goal,23,24
9,4.0,Bills,Scott Norwood 19 yard field goal,23,27
10,4.0,Bills,Robb Riddick 1 yard rush (Scott Norwood kick),23,34
