,Quarter,Tm,Detail,CHI,DET
0,2.0,Lions,Wayne Walker 17 yard field goal,0,3
1,2.0,Lions,Wayne Walker 43 yard field goal,0,6
2,3.0,Lions,"Safety, Wade tackled in end zone by Karras",0,8
3,4.0,Bears,Roger LeClerc 35 yard field goal,3,8
4,4.0,Lions,Wayne Walker 38 yard field goal,3,11
