,Quarter,Time,Tm,Detail,PHI,TEN
0,2.0,12:09,Eagles,David Akers 25 yard field goal,3,0
1,2.0,6:29,Titans,Kenny Britt 26 yard pass from Kerry Collins (Rob Bironas kick),3,7
2,2.0,1:56,Eagles,Riley Cooper 5 yard pass from Kevin Kolb (David Akers kick),10,7
3,2.0,0:04,Eagles,David Akers 46 yard field goal,13,7
4,3.0,11:14,Eagles,David Akers 46 yard field goal,16,7
5,3.0,1:18,Titans,Rob Bironas 41 yard field goal,16,10
6,4.0,13:26,Eagles,David Akers 28 yard field goal,19,10
7,4.0,13:13,Titans,Kenny Britt 80 yard pass from Kerry Collins (Rob Bironas kick),19,17
8,4.0,9:26,Titans,Rob Bironas 38 yard field goal,19,20
9,4.0,5:03,Titans,Kenny Britt 16 yard pass from Kerry Collins (Rob Bironas kick),19,27
10,4.0,0:22,Titans,Rob Bironas 33 yard field goal,19,30
11,4.0,0:00,Titans,Cortland Finnegan 41 yard interception return (Rob Bironas kick),19,37
