,Quarter,Tm,Detail,DAL,NYG
0,1.0,Cowboys,Walt Garrison 1 yard rush (Toni Fritsch kick),7,0
1,2.0,Cowboys,Toni Fritsch 54 yard field goal,10,0
2,2.0,Giants,Rich Houston 55 yard pass from Norm Snead (Pete Gogolak kick),10,7
3,3.0,Cowboys,Toni Fritsch 13 yard field goal,13,7
4,4.0,Cowboys,Toni Fritsch 8 yard field goal,16,7
5,4.0,Giants,Rich Houston 94 yard pass from Norm Snead (Pete Gogolak kick),16,14
6,4.0,Cowboys,Lance Alworth 3 yard pass from Craig Morton (Toni Fritsch kick),23,14
