,Quarter,Tm,Detail,ATL,IND
0,1.0,Falcons,Paul McFadden 19 yard field goal,3,0
1,2.0,Falcons,Paul McFadden 34 yard field goal,6,0
2,3.0,Falcons,Paul McFadden 27 yard field goal,9,0
3,3.0,Colts,Dean Biasucci 25 yard field goal,9,3
4,3.0,Colts,Dean Biasucci 29 yard field goal,9,6
5,4.0,Colts,Jack Trudeau 1 yard rush (Dean Biasucci kick),9,13
