,Quarter,Time,Tm,Detail,NWE,PIT
0,1.0,3:42,Patriots,Troy Brown 55 yard punt return (Adam Vinatieri kick),7,0
1,2.0,13:33,Steelers,Kris Brown 30 yard field goal,7,3
2,2.0,0:58,Patriots,David Patten 11 yard pass from Drew Bledsoe (Adam Vinatieri kick),14,3
3,3.0,8:51,Patriots,Antwan Harris 49 yard blocked field goal return (Adam Vinatieri kick),21,3
4,3.0,5:11,Steelers,Jerome Bettis 1 yard rush (Kris Brown kick),21,10
5,3.0,1:29,Steelers,Amos Zereoue 11 yard rush (Kris Brown kick),21,17
6,4.0,11:12,Patriots,Adam Vinatieri 44 yard field goal,24,17
