,Quarter,Tm,Detail,GNB,MIA
0,1.0,Dolphins,Fuad Reveiz 29 yard field goal,0,3
1,1.0,Dolphins,Lorenzo Hampton 2 yard rush (Fuad Reveiz kick),0,10
2,1.0,Dolphins,Mark Clayton 25 yard pass from Dan Marino (Fuad Reveiz kick),0,17
3,2.0,Packers,Randy Wright 1 yard rush (Max Zendejas kick),7,17
4,2.0,Dolphins,Ferrell Edmunds 4 yard pass from Dan Marino (Fuad Reveiz kick),7,24
5,2.0,Packers,Brent Fullwood 1 yard rush (Max Zendejas kick),14,24
6,3.0,Packers,Max Zendejas 36 yard field goal,17,24
