,Quarter,Time,Tm,Detail,PHI,WAS
0,1.0,,Eagles,Irving Fryar 18 yard pass from Rodney Peete (Gary Anderson kick),7,0
1,1.0,,Redskins,Terry Allen 2 yard rush (Scott Blanton kick),7,7
2,2.0,,Eagles,Chris Jones 9 yard pass from Rodney Peete (Gary Anderson kick),14,7
3,2.0,,Eagles,Gary Anderson 26 yard field goal,17,7
4,3.0,,Redskins,Terry Allen 49 yard rush (Scott Blanton kick),17,14
