,Quarter,Tm,Detail,SFO,BAL
0,1.0,Colts,Bert Rechichar 15 yard field goal,0,3
1,2.0,Colts,Bert Rechichar 52 yard field goal,0,6
2,2.0,Colts,Jim Mutscheller 19 yard pass from George Shaw (Bert Rechichar kick),0,13
3,3.0,Colts,Alan Ameche 1 yard rush,0,19
4,3.0,49ers,Billy Wilson 44 yard pass from Y.A. Tittle (Gordie Soltau kick),7,19
5,4.0,49ers,Gordie Soltau 32 yard pass from Y.A. Tittle (Gordie Soltau kick),14,19
6,4.0,Colts,George Shaw 21 yard rush (Bert Rechichar kick),14,26
