,Quarter,Tm,Detail,CHI,DET
0,1.0,Bears,Bill Geyer 64 yard pass from Sid Luckman (Bob Snyder kick),7,0
1,2.0,Bears,Harry Clarke 1 yard rush (Bob Snyder kick),14,0
2,2.0,Lions,Bill Callihan 5 yard pass from Frankie Sinkwich (Augie Lio kick),14,7
3,2.0,Lions,Harry Hopp 40 yard interception return (Augie Lio kick),14,14
4,3.0,Bears,Harry Clarke 26 yard pass from Sid Luckman,20,14
5,3.0,Bears,Hampton Pool 42 yard pass from Sid Luckman (Bob Snyder kick),27,14
6,4.0,Lions,Bill Callihan 2 yard rush (Augie Lio kick),27,21
