,Quarter,Tm,Detail,AKR,COL
0,1.0,Tigers,Paul Goebel unknown yard pass from Sonny Winters,0,6
1,2.0,Tigers,Bob Rapp 29 yard pass from Sonny Winters (Gus Tebell kick),0,13
2,2.0,Tigers,Gus Tebell 20 yard field goal,0,16
3,3.0,Tigers,Paul Goebel fumble recovery in end zone (Gus Tebell kick),0,23
4,4.0,Tigers,Bob Rapp 10 yard pass from Sonny Winters (Gus Tebell kick),0,30
