,Quarter,Tm,Detail,ATL,GNB
0,1.0,Packers,Joe Danelo 34 yard field goal,0,3
1,1.0,Falcons,Dave Hampton 1 yard rush,6,3
2,2.0,Packers,Eric Torkelson 15 yard rush,6,9
3,2.0,Packers,Joe Danelo 30 yard field goal,6,12
4,3.0,Packers,Joe Danelo 19 yard field goal,6,15
5,3.0,Packers,Barty Smith 1 yard rush (Joe Danelo kick),6,22
6,4.0,Falcons,Alfred Jenkins 52 yard pass from Steve Bartkowski (Nick Mike-Mayer kick),13,22
