,Quarter,Time,Tm,Detail,DAL,TEN
0,1.0,7:26,Titans,Rob Bironas 33 yard field goal,0,3
1,1.0,0:34,Cowboys,Terry Glenn 13 yard pass from Drew Bledsoe (Mike Vanderjagt kick),7,3
2,2.0,12:43,Cowboys,Terry Glenn 13 yard pass from Drew Bledsoe (Mike Vanderjagt kick),14,3
3,2.0,0:00,Titans,Rob Bironas 39 yard field goal,14,6
4,3.0,11:53,Cowboys,Julius Jones 5 yard rush (Mike Vanderjagt kick),21,6
5,3.0,6:38,Cowboys,Marion Barber III 1 yard rush (Mike Vanderjagt kick),28,6
6,3.0,3:40,Titans,Ben Troupe 17 yard pass from Vince Young (Vince Young run),28,14
7,4.0,13:04,Cowboys,Mike Vanderjagt 43 yard field goal,31,14
8,4.0,8:23,Cowboys,Bradie James 15 yard interception return (Mike Vanderjagt kick),38,14
9,4.0,5:43,Cowboys,Tyson Thompson 7 yard rush (Mike Vanderjagt kick),45,14
