,Quarter,Tm,Detail,HOU,CIN
0,1.0,Oilers,Skip Butler 22 yard field goal,3,0
1,2.0,Bengals,Chip Myers 34 yard pass from John Reaves (Dave Green kick),3,7
2,2.0,Bengals,Dave Green 33 yard field goal,3,10
3,2.0,Bengals,Chip Myers 18 yard pass from John Reaves,3,16
4,3.0,Oilers,Ken Burrough 46 yard pass from Dan Pastorini (Skip Butler kick),10,16
5,4.0,Bengals,Stan Fritts 4 yard rush (Dave Green kick),10,23
6,4.0,Oilers,"Safety, blocked punt downed in end zone",12,23
7,4.0,Oilers,Dan Pastorini 1 yard rush (Skip Butler kick),19,23
