,Quarter,Time,Tm,Detail,STL,PHI
0,1.0,0:09,Eagles,Bobby Taylor 23 yard interception return (David Akers kick),0,7
1,2.0,4:59,Eagles,David Akers 31 yard field goal,0,10
2,2.0,0:20,Rams,Jeff Wilkins 22 yard field goal,3,10
