,Quarter,Tm,Detail,WAS,MIN
0,1.0,Redskins,Chip Lohmiller 22 yard field goal,3,0
1,2.0,Redskins,Chip Lohmiller 52 yard field goal,6,0
2,2.0,Redskins,Chip Lohmiller 25 yard field goal,9,0
3,2.0,Redskins,Chip Lohmiller 45 yard field goal,12,0
4,3.0,Vikings,Fuad Reveiz 26 yard field goal,12,3
5,4.0,Vikings,Terry Allen 1 yard rush (Fuad Reveiz kick),12,10
6,4.0,Vikings,Fuad Reveiz 41 yard field goal,12,13
7,4.0,Redskins,Chip Lohmiller 49 yard field goal,15,13
