,Quarter,Tm,Detail,RAM,DAL
0,1.0,Rams,Damone Johnson 1 yard pass from Jim Everett (Mike Lansford kick),7,0
1,1.0,Rams,Greg Bell 1 yard rush (Mike Lansford kick),14,0
2,2.0,Cowboys,Daryl Johnston 9 yard pass from Troy Aikman (Luis Zendejas kick),14,7
3,2.0,Cowboys,Luis Zendejas 47 yard field goal,14,10
4,3.0,Rams,Aaron Cox 18 yard pass from Jim Everett (Mike Lansford kick),21,10
5,3.0,Cowboys,James Dixon 35 yard pass from Troy Aikman (Luis Zendejas kick),21,17
6,4.0,Cowboys,Steve Folsom 5 yard pass from Troy Aikman (Luis Zendejas kick),21,24
7,4.0,Cowboys,Bernard Ford 10 yard pass from Troy Aikman (Luis Zendejas kick),21,31
8,4.0,Rams,Ron Brown 35 yard pass from Jim Everett (Mike Lansford kick),28,31
9,4.0,Rams,Aaron Cox 23 yard pass from Jim Everett (Mike Lansford kick),35,31
