,Quarter,Tm,Detail,SEA,SDG
0,1.0,Chargers,Lydell Mitchell 20 yard pass from Dan Fouts (Roy Gerela kick),0,7
1,2.0,Seahawks,Efren Herrera 19 yard field goal,3,7
2,3.0,Chargers,John Jefferson 9 yard pass from Dan Fouts (Roy Gerela kick),3,14
3,4.0,Seahawks,Sherman Smith 8 yard rush (Efren Herrera kick),10,14
4,4.0,Chargers,John Jefferson 49 yard pass from Dan Fouts,10,20
