,Quarter,Tm,Detail,PIT,HOU
0,1,Steelers,Roy Gerela 41 yard field goal,3,0
1,2,Oilers,Toni Fritsch 37 yard field goal,3,3
2,3,Steelers,Roy Gerela 23 yard field goal,6,3
3,4,Steelers,John Stallworth 5 yard pass from Terry Bradshaw (Roy Gerela kick),13,3
