,Quarter,Tm,Detail,OAK,CIN
0,1.0,Bengals,Paul Robinson 2 yard rush (Horst Muhlmann kick),0,7
1,2.0,Bengals,Chip Myers 35 yard pass from Greg Cook (Horst Muhlmann kick),0,14
2,2.0,Bengals,Horst Muhlmann 16 yard field goal,0,17
3,2.0,Bengals,Chip Myers 8 yard pass from Greg Cook (Horst Muhlmann kick),0,24
4,3.0,Raiders,George Blanda 27 yard field goal,3,24
5,4.0,Bengals,Jess Phillips 2 yard rush (Horst Muhlmann kick),3,31
6,4.0,Raiders,Fred Biletnikoff 9 yard pass from Daryle Lamonica (George Blanda kick),10,31
7,4.0,Raiders,Warren Wells 43 yard pass from Daryle Lamonica (George Blanda kick),17,31
