,Quarter,Tm,Detail,BAL,WAS
0,1.0,Colts,Steve Myhra 21 yard field goal,3,0
1,2.0,Redskins,Joe Walton 19 yard pass from Eddie LeBaron (Sam Baker kick),3,7
2,3.0,Redskins,Sam Baker 42 yard field goal,3,10
3,3.0,Colts,Jim Mutscheller 19 yard pass from Johnny Unitas (Steve Myhra kick),10,10
4,4.0,Redskins,Joe Walton 22 yard pass from Ed Sutton (Sam Baker kick),10,17
5,4.0,Colts,Jim Mutscheller 4 yard pass from Johnny Unitas (Steve Myhra kick),17,17
6,4.0,Redskins,Bill Anderson 17 yard pass from Eddie LeBaron (Sam Baker kick),17,24
7,4.0,Colts,Jerry Richardson 12 yard pass from Lenny Moore (Steve Myhra kick),24,24
8,4.0,Redskins,Sam Baker 46 yard field goal,24,27
