,Quarter,Tm,Detail,MIN,NOR
0,1.0,Vikings,Ed Marinaro 4 yard pass from Fran Tarkenton (Fred Cox kick),7,0
1,2.0,Vikings,John Gilliam 13 yard pass from Fran Tarkenton,13,0
2,2.0,Saints,Paul Seal 25 yard pass from Archie Manning (Rich Szaro kick),13,7
3,2.0,Vikings,John Gilliam 33 yard pass from Fran Tarkenton (Fred Cox kick),20,7
