,Quarter,Time,Tm,Detail,BUF,JAX
0,1.0,10:40,Jaguars,Josh Scobee 29 yard field goal,0,3
1,1.0,4:36,Bills,Rian Lindell 26 yard field goal,3,3
2,1.0,1:59,Bills,Rian Lindell 28 yard field goal,6,3
3,2.0,9:30,Jaguars,Maurice Jones-Drew 3 yard rush (Josh Scobee kick),6,10
4,2.0,0:00,Bills,Rian Lindell 22 yard field goal,9,10
5,3.0,11:28,Bills,Terrell Owens 98 yard pass from Ryan Fitzpatrick (pass failed),15,10
6,4.0,0:56,Jaguars,Mike Sims-Walker 3 yard pass from David Garrard (David Garrard run),15,18
