,Quarter,Tm,Detail,GNB,MIN
0,2.0,Packers,Chester Marcol 42 yard field goal,3,0
1,2.0,Vikings,"Safety, Lane tackled in end zone",3,2
2,2.0,Vikings,Fred Cox 22 yard field goal,3,5
3,3.0,Vikings,Fred Cox 13 yard field goal,3,8
4,4.0,Vikings,Fred Cox 14 yard field goal,3,11
