,Quarter,Tm,Detail,SEA,DEN
0,1.0,Seahawks,Daryl Turner 80 yard pass from Dave Krieg (Norm Johnson kick),7,0
1,1.0,Broncos,Rich Karlis 27 yard field goal,7,3
2,2.0,Seahawks,Norm Johnson 33 yard field goal,10,3
3,2.0,Broncos,Butch Johnson 19 yard pass from John Elway (Rich Karlis kick),10,10
4,3.0,Seahawks,David Hughes 6 yard pass from Dave Krieg (Norm Johnson kick),17,10
5,3.0,Broncos,Gene Lang 2 yard rush (Rich Karlis kick),17,17
6,4.0,Seahawks,Steve Largent 3 yard pass from Dave Krieg (Norm Johnson kick),24,17
7,4.0,Seahawks,Norm Johnson 28 yard field goal,27,17
8,4.0,Broncos,Gene Lang 9 yard pass from John Elway (Rich Karlis kick),27,24
