,Quarter,Time,Tm,Detail,JAX,BAL
0,1.0,,Jaguars,Rob Johnson 25 yard rush (Mike Hollis kick),7,0
1,1.0,,Jaguars,Natrone Means 1 yard rush (Mike Hollis kick),14,0
2,2.0,,Ravens,Jermaine Lewis 17 yard pass from Vinny Testaverde (Matt Stover kick),14,7
3,2.0,,Ravens,Jermaine Lewis 42 yard pass from Vinny Testaverde (Matt Stover kick),14,14
4,2.0,,Jaguars,Jimmy Smith 20 yard pass from Rob Johnson (Mike Hollis kick),21,14
5,2.0,,Ravens,Matt Stover 33 yard field goal,21,17
6,3.0,,Ravens,Michael Jackson 54 yard pass from Vinny Testaverde (Matt Stover kick),21,24
7,4.0,,Ravens,Matt Stover 25 yard field goal,21,27
8,4.0,,Jaguars,Jimmy Smith 28 yard pass from Rob Johnson (Mike Hollis kick),28,27
