,Quarter,Tm,Detail,NOR,RAM
0,1.0,Rams,David Ray 36 yard field goal,0,3
1,1.0,Rams,David Ray 28 yard field goal,0,6
2,1.0,Rams,Bob Thomas 1 yard rush (David Ray kick),0,13
3,2.0,Rams,Jack Snow 31 yard pass from Roman Gabriel (David Ray kick),0,20
4,2.0,Rams,Larry Smith 4 yard rush (David Ray kick),0,27
5,2.0,Rams,Bob Thomas 38 yard rush (David Ray kick),0,34
6,2.0,Saints,Bob Newland 42 yard pass from Archie Manning (Charlie Durkee kick),7,34
7,4.0,Saints,Danny Abramowicz 4 yard pass from Archie Manning (Charlie Durkee kick),14,34
