,Quarter,Tm,Detail,DET,SFO
0,1.0,Lions,Wayne Walker 23 yard field goal,3,0
1,1.0,49ers,Bernie Casey 63 yard pass from John Brodie (Tommy Davis kick),3,7
2,2.0,Lions,Wayne Walker 16 yard field goal,6,7
3,2.0,Lions,Nick Pietrosante 3 yard rush (Wayne Walker kick),13,7
4,2.0,Lions,Wayne Walker 31 yard field goal,16,7
5,3.0,Lions,Nick Pietrosante 1 yard rush (Wayne Walker kick),23,7
6,3.0,49ers,Tommy Davis 41 yard field goal,23,10
7,3.0,49ers,Bernie Casey 7 yard pass from John Brodie (Tommy Davis kick),23,17
8,4.0,Lions,Wayne Walker 26 yard field goal,26,17
