,Quarter,Time,Tm,Detail,TAM,DET
0,2.0,12:59,Lions,Jason Hanson 47 yard field goal,0,3
1,2.0,8:02,Buccaneers,Martin Gramatica 49 yard field goal,3,3
2,2.0,3:52,Lions,Sedrick Irvin 2 yard rush (Jason Hanson kick),3,10
3,3.0,14:01,Lions,Allen Aldridge 21 yard defensive fumble return (Jason Hanson kick),3,17
4,4.0,11:34,Lions,Jason Hanson 50 yard field goal,3,20
