,Quarter,Time,Tm,Detail,MIA,BUF
0,1.0,,Bills,Thurman Thomas 1 yard rush (Steve Christie kick),0,7
1,1.0,,Bills,Steve Christie 48 yard field goal,0,10
2,2.0,,Bills,Darick Holmes 21 yard rush (Steve Christie kick),0,17
3,2.0,,Bills,Steve Tasker 37 yard pass from Jim Kelly (Steve Christie kick),0,24
4,3.0,,Bills,Steve Christie 23 yard field goal,0,27
5,4.0,,Dolphins,O.J. McDuffie 5 yard pass from Dan Marino (Pete Stoyanovich kick),7,27
6,4.0,,Bills,Tim Tindale 44 yard rush (Steve Christie kick),7,34
7,4.0,,Dolphins,Randal Hill 45 yard pass from Dan Marino (Pete Stoyanovich kick),14,34
8,4.0,,Bills,Steve Christie 42 yard field goal,14,37
9,4.0,,Dolphins,Terry Kirby 1 yard rush (O.J. McDuffie pass from Dan Marino),22,37
