,Quarter,Tm,Detail,KAN,OAK
0,1.0,Raiders,Dave Casper 5 yard pass from Ken Stabler (George Blanda kick),0,7
1,2.0,Raiders,Mike Siani 9 yard pass from Ken Stabler (George Blanda kick),0,14
2,2.0,Raiders,Pete Banaszak 20 yard rush,0,20
3,3.0,Chiefs,Wilbur Young 52 yard interception return (Jan Stenerud kick),7,20
4,4.0,Raiders,Dave Casper 2 yard pass from Ken Stabler (George Blanda kick),7,27
