,Quarter,Time,Tm,Detail,TEN,PIT
0,1.0,8:17,Titans,Rob Bironas 29 yard field goal,3,0
1,1.0,3:00,Steelers,Heath Miller 8 yard pass from Ben Roethlisberger (Shaun Suisham kick),3,7
2,2.0,11:14,Steelers,Hines Ward 7 yard pass from Ben Roethlisberger (Shaun Suisham kick),3,14
3,2.0,6:11,Steelers,David Johnson 1 yard pass from Ben Roethlisberger (Shaun Suisham kick),3,21
4,3.0,4:44,Steelers,Hines Ward 5 yard pass from Ben Roethlisberger (Shaun Suisham kick),3,28
5,3.0,2:02,Titans,Chris Johnson 1 yard rush (Rob Bironas kick),10,28
6,4.0,10:45,Steelers,Shaun Suisham 19 yard field goal,10,31
7,4.0,3:32,Titans,Damian Williams 19 yard pass from Matt Hasselbeck (Rob Bironas kick),17,31
8,4.0,2:39,Steelers,Mike Wallace 40 yard pass from Ben Roethlisberger (Shaun Suisham kick),17,38
