,Quarter,Time,Tm,Detail,PHI,SFO
0,2,,49ers,Steve Young 9 yard rush (Jeff Wilkins kick),0,7
1,3,,49ers,Jerry Rice 3 yard pass from Steve Young (Jeff Wilkins kick),0,14
