,Quarter,Tm,Detail,HOU,SEA
0,2.0,Seahawks,John Leypoldt 51 yard field goal,0,3
1,2.0,Oilers,Tom Dempsey 27 yard field goal,3,3
2,2.0,Oilers,Ken Burrough 31 yard pass from Dan Pastorini (Tom Dempsey kick),10,3
3,3.0,Oilers,Tom Dempsey 37 yard field goal,13,3
4,4.0,Oilers,Ronnie Coleman 1 yard rush (Tom Dempsey kick),20,3
5,4.0,Seahawks,Sherman Smith 2 yard rush (John Leypoldt kick),20,10
6,4.0,Oilers,"Safety, Myer tackled in end zone",22,10
