,Quarter,Tm,Detail,NYG,STL
0,1.0,Giants,Lionel Manuel 5 yard pass from Phil Simms (Ali Haji-Sheikh kick),7,0
1,2.0,Cardinals,Pat Tilley 4 yard pass from Neil Lomax (Neil O'Donoghue kick),7,7
2,2.0,Cardinals,Stump Mitchell 44 yard pass from Neil Lomax (Neil O'Donoghue kick),7,14
3,3.0,Giants,Zeke Mowatt 18 yard pass from Phil Simms (Ali Haji-Sheikh kick),14,14
4,3.0,Cardinals,Roy Green 35 yard pass from Neil Lomax (Neil O'Donoghue kick),14,21
5,3.0,Giants,Rob Carpenter 1 yard rush (Ali Haji-Sheikh kick),21,21
6,4.0,Cardinals,Ottis Anderson 12 yard rush (Neil O'Donoghue kick),21,28
7,4.0,Cardinals,Neil O'Donoghue 34 yard field goal,21,31
