,Quarter,Tm,Detail,PHI,DAL
0,2.0,Cowboys,Calvin Hill 5 yard rush (Efren Herrera kick),0,7
1,2.0,Eagles,Harold Carmichael 14 yard pass from Roman Gabriel (Tom Dempsey kick),7,7
2,2.0,Cowboys,Calvin Hill 17 yard rush (Efren Herrera kick),7,14
3,2.0,Eagles,Po James 1 yard rush (Tom Dempsey kick),14,14
4,2.0,Eagles,Tom Dempsey 39 yard field goal,17,14
5,3.0,Cowboys,Efren Herrera 29 yard field goal,17,17
6,3.0,Eagles,Don Zimmerman 64 yard pass from Roman Gabriel (Tom Dempsey kick),24,17
7,3.0,Cowboys,Calvin Hill 2 yard rush (Efren Herrera kick),24,24
8,4.0,Cowboys,Roger Staubach 1 yard rush (Efren Herrera kick),24,31
