,Quarter,Tm,Detail,DEN,HOU
0,2.0,Oilers,Ronnie Coleman 2 yard rush (Toni Fritsch kick),0,7
1,2.0,Broncos,Riley Odoms 13 yard pass from Craig Morton (Jim Turner kick),7,7
2,2.0,Broncos,Rick Upchurch 13 yard pass from Craig Morton (Jim Turner kick),14,7
3,3.0,Broncos,Jim Turner 42 yard field goal,17,7
4,3.0,Oilers,Ken Burrough 29 yard pass from Dan Pastorini (Toni Fritsch kick),17,14
5,4.0,Broncos,Norris Weese 5 yard rush (Jim Turner kick),24,14
