,Quarter,Time,Tm,Detail,GNB,MIA
0,1.0,9:10,Packers,Ryan Longwell 51 yard field goal,3,0
1,1.0,1:02,Packers,Dorsey Levens 1 yard rush (Ryan Longwell kick),10,0
2,2.0,11:53,Packers,Dorsey Levens 7 yard rush (Ryan Longwell kick),17,0
3,2.0,1:15,Dolphins,Jay Fiedler 1 yard rush (Olindo Mare kick),17,7
4,3.0,10:49,Dolphins,Oronde Gadsden 15 yard pass from Jay Fiedler (Olindo Mare kick),17,14
5,3.0,6:03,Dolphins,Lamar Smith 4 yard rush (Olindo Mare kick),17,21
6,3.0,3:09,Dolphins,Jeff Ogden 81 yard punt return (Olindo Mare kick),17,28
7,4.0,10:50,Packers,Ryan Longwell 48 yard field goal,20,28
