,Quarter,Tm,Detail,SFO,NOR
0,1.0,Saints,Rueben Mayes 4 yard rush (Morten Andersen kick),0,7
1,1.0,Saints,Rueben Mayes 27 yard rush (Morten Andersen kick),0,14
2,1.0,49ers,Ray Wersching 50 yard field goal,3,14
3,2.0,49ers,John Frank 3 yard pass from Mike Moroski (Ray Wersching kick),10,14
4,3.0,Saints,Morten Andersen 45 yard field goal,10,17
5,4.0,Saints,Morten Andersen 50 yard field goal,10,20
6,4.0,Saints,Morten Andersen 23 yard field goal,10,23
