,Quarter,Tm,Detail,CLE,DAL
0,2.0,Cowboys,Danny Villanueva 10 yard field goal,0,3
1,2.0,Browns,Lou Groza 46 yard field goal,3,3
2,2.0,Browns,Jim Brown 3 yard rush (Lou Groza kick),10,3
3,2.0,Browns,Leroy Kelly 67 yard punt return (Lou Groza kick),17,3
4,3.0,Cowboys,Pettis Norman 2 yard pass from Don Meredith (Danny Villanueva kick),17,10
5,3.0,Browns,Gary Collins 5 yard pass from Frank Ryan (Lou Groza kick),24,10
6,4.0,Cowboys,Bob Hayes 45 yard pass from Don Meredith (Danny Villanueva kick),24,17
