,Quarter,Tm,Detail,GNB,RAM
0,2.0,Packers,Bob Mann 8 yard pass from Paul Christman (Ted Fritsch kick),7,0
1,2.0,Rams,Glenn Davis 4 yard rush (Bob Waterfield kick),7,7
2,2.0,Rams,"Safety, Brink covered blocked kick in end zone after it",7,9
3,2.0,Rams,Glenn Davis 8 yard pass from Norm Van Brocklin (Bob Waterfield kick),7,16
4,3.0,Rams,Elroy Hirsch 37 yard pass from Norm Van Brocklin (Bob Waterfield kick),7,23
5,3.0,Rams,Tom Fears 11 yard pass from Norm Van Brocklin (Bob Waterfield kick),7,30
6,3.0,Rams,Vitamin Smith 9 yard pass from Bob Waterfield (Bob Waterfield kick),7,37
7,4.0,Packers,Ted Cook 3 yard pass from Tobin Rote (Ted Fritsch kick),14,37
8,4.0,Rams,Tom Fears 4 yard pass from Bob Waterfield (Bob Waterfield kick),14,44
9,4.0,Rams,Tank Younger 3 yard rush (Elroy Hirsch kick),14,51
