,Quarter,Tm,Detail,CRD,NYG
0,1,Giants,Tuffy Leemans 6 yard rush (Ward Cuff kick),0,7
1,2,Cardinals,Bob Morrow 1 yard rush (Bill Daddio kick),7,7
2,3,Cardinals,Bill Daddio 16 yard field goal,10,7
