,Quarter,Tm,Detail,CRD,PRV
0,2.0,Cardinals,Chuck Kassel 30 yard pass from Ernie Nevers (Ernie Nevers kick),7,0
1,2.0,Cardinals,Ernie Nevers 33 yard field goal,10,0
2,4.0,Cardinals,Ernie Nevers 2 yard rush,16,0
