,Quarter,Time,Tm,Detail,SFO,DAL
0,1.0,14:06,49ers,Chris Culliver 35 yard defensive fumble return (Phil Dawson kick),7,0
1,1.0,7:22,Cowboys,Dan Bailey 29 yard field goal,7,3
2,1.0,5:54,49ers,Vernon Davis 29 yard pass from Colin Kaepernick (Phil Dawson kick),14,3
3,1.0,4:25,49ers,Vernon Davis 2 yard pass from Colin Kaepernick (Phil Dawson kick),21,3
4,2.0,0:39,49ers,Carlos Hyde 4 yard rush (Phil Dawson kick),28,3
5,3.0,0:29,Cowboys,DeMarco Murray 2 yard rush (Dan Bailey kick),28,10
6,4.0,1:52,Cowboys,Terrance Williams 2 yard pass from Tony Romo (Dan Bailey kick),28,17
