,Quarter,Tm,Detail,WAS,PHO
0,1.0,Redskins,Art Monk 23 yard pass from Mark Rypien (Chip Lohmiller kick),7,0
1,1.0,Cardinals,"Safety, Harvey tackled Rypien in end zone",7,2
2,2.0,Cardinals,Tony Jordan 1 yard rush (Al Del Greco kick),7,9
3,2.0,Redskins,Ricky Sanders 18 yard pass from Mark Rypien (Chip Lohmiller kick),14,9
4,3.0,Cardinals,Tony Jordan 1 yard rush (Al Del Greco kick),14,16
5,4.0,Cardinals,Roy Green 27 yard pass from Neil Lomax (Al Del Greco kick),14,23
6,4.0,Redskins,Anthony Allen 2 yard pass from Mark Rypien (Chip Lohmiller kick),21,23
7,4.0,Cardinals,Cedric Mack 45 yard defensive fumble return (Al Del Greco kick),21,30
