,Quarter,Time,Tm,Detail,IND,BAL
0,2.0,0:15,Colts,Mike Vanderjagt 20 yard field goal,3,0
1,3.0,8:43,Colts,Marvin Harrison 28 yard pass from Peyton Manning (Mike Vanderjagt kick),10,0
2,3.0,5:08,Colts,Ben Utecht 26 yard pass from Peyton Manning (Mike Vanderjagt kick),17,0
3,4.0,2:39,Colts,Cato June 30 yard interception return (Mike Vanderjagt kick),24,0
4,4.0,0:13,Ravens,Daniel Wilcox 17 yard pass from Anthony Wright (Matt Stover kick),24,7
