,Quarter,Tm,Detail,DET,CHI
0,1.0,Bears,Kevin Butler 22 yard field goal,0,3
1,2.0,Lions,Bob Gagliano 14 yard rush (Eddie Murray kick),7,3
2,2.0,Lions,Barry Sanders 18 yard rush (Eddie Murray kick),14,3
3,2.0,Bears,Brad Muster 11 yard rush (Kevin Butler kick),14,10
4,2.0,Lions,Eddie Murray 45 yard field goal,17,10
5,3.0,Lions,Barry Sanders 3 yard rush (Eddie Murray kick),24,10
6,4.0,Lions,Eddie Murray 28 yard field goal,27,10
7,4.0,Bears,Neal Anderson 1 yard rush (Kevin Butler kick),27,17
