,Quarter,Time,Tm,Detail,CAR,NOR
0,2.0,14:13,Saints,Ricky Williams 2 yard rush (Doug Brien kick),0,7
1,2.0,4:18,Panthers,Joe Nedney 52 yard field goal,3,7
2,2.0,0:13,Saints,Doug Brien 29 yard field goal,3,10
3,2.0,0:00,Panthers,Joe Nedney 46 yard field goal,6,10
4,4.0,5:16,Saints,Ricky Williams 1 yard rush (Doug Brien kick),6,17
5,4.0,3:10,Saints,Joe Horn 29 yard pass from Jeff Blake (Doug Brien kick),6,24
