,Quarter,Tm,Detail,MIN,DET
0,1.0,Lions,Terry Barr 35 yard pass from Earl Morrall (Milt Plum kick),0,7
1,1.0,Vikings,Fred Cox 38 yard field goal,3,7
2,2.0,Lions,Nick Pietrosante 3 yard rush (Milt Plum kick),3,14
3,3.0,Vikings,Bill Brown 14 yard rush (Fred Cox kick),10,14
4,3.0,Lions,Terry Barr 37 yard pass from Earl Morrall (Milt Plum kick),10,21
5,4.0,Lions,Gail Cogdill 8 yard pass from Earl Morrall (Milt Plum kick),10,28
