,Quarter,Tm,Detail,GNB,CRD
0,1.0,Cardinals,Mal Kutner 12 yard pass from Ray Mallouf (Pat Harder kick),0,7
1,1.0,Packers,Walt Schlinkman 2 yard rush (Ted Fritsch kick),7,7
2,2.0,Cardinals,Paul Christman 1 yard rush (Pat Harder kick),7,14
3,3.0,Cardinals,Pat Harder 1 yard rush (Pat Harder kick),7,21
4,4.0,Cardinals,Mal Kutner 61 yard pass from Paul Christman (Pat Harder kick),7,28
5,4.0,Cardinals,Ray Mallouf 1 yard rush (Pat Harder kick),7,35
6,4.0,Cardinals,Vic Schwall 18 yard rush (Pat Harder kick),7,42
