,Quarter,Time,Tm,Detail,CAR,GNB
0,1.0,5:23,Panthers,John Kasay 20 yard field goal,3,0
1,1.0,1:38,Packers,Keith McKenzie 18 yard defensive fumble return (Ryan Longwell kick),3,7
2,2.0,5:27,Panthers,Patrick Jeffers 35 yard pass from Steve Beuerlein (John Kasay kick),10,7
3,2.0,1:48,Packers,Antonio Freeman 19 yard pass from Brett Favre (Ryan Longwell kick),10,14
4,3.0,14:39,Panthers,Patrick Jeffers 38 yard pass from Steve Beuerlein (John Kasay kick),17,14
5,3.0,8:23,Packers,Donald Driver 8 yard pass from Brett Favre (Ryan Longwell kick),17,21
6,3.0,4:27,Panthers,Brian Kinchen 26 yard pass from Steve Beuerlein (John Kasay kick),24,21
7,4.0,11:05,Packers,Ryan Longwell 40 yard field goal,24,24
8,4.0,7:48,Panthers,John Kasay 37 yard field goal,27,24
9,4.0,4:00,Packers,William Henderson 1 yard rush (Ryan Longwell kick),27,31
10,4.0,0:00,Panthers,Steve Beuerlein 5 yard rush (run failed),33,31
