,Quarter,Time,Tm,Detail,NYJ,MIA
0,1.0,,Dolphins,Olindo Mare 24 yard field goal,0,3
1,1.0,,Jets,Wayne Chrebet 12 yard pass from Vinny Testaverde (John Hall kick),7,3
2,3.0,,Jets,Curtis Martin 9 yard rush (John Hall kick),14,3
3,4.0,,Dolphins,O.J. McDuffie 3 yard pass from Dan Marino (Olindo Mare kick),14,10
4,4.0,,Jets,Chad Cascadden 23 yard defensive fumble return (John Hall kick),21,10
5,4.0,0:06,Dolphins,Stanley Pritchett 1 yard rush (pass failed),21,16
