,Quarter,Time,Tm,Detail,DAL,PIT
0,1.0,,Cowboys,Chris Boniol 40 yard field goal,3,0
1,2.0,,Cowboys,Chris Boniol 31 yard field goal,6,0
2,2.0,,Steelers,Gary Anderson 41 yard field goal,6,3
3,2.0,,Cowboys,Daryl Johnston 2 yard pass from Troy Aikman (Chris Boniol kick),13,3
4,2.0,,Cowboys,Chris Boniol 21 yard field goal,16,3
5,4.0,,Cowboys,Chris Boniol 32 yard field goal,19,3
6,4.0,,Steelers,Neil O'Donnell 2 yard rush (pass failed),19,9
7,4.0,,Cowboys,Emmitt Smith 2 yard rush (Chris Boniol kick),26,9
