,Quarter,Time,Tm,Detail,LAC,DET
0,1.0,8:02,Chargers,Austin Ekeler 1 yard rush (Ty Long kick),7,0
1,1.0,4:20,Lions,Kerryon Johnson 36 yard pass from Matthew Stafford (Matt Prater kick failed),7,6
2,2.0,0:04,Chargers,Ty Long 39 yard field goal,10,6
3,4.0,7:28,Lions,Kenny Golladay 31 yard pass from Matthew Stafford (Matt Prater kick),10,13
