,Quarter,Time,Tm,Detail,DEN,IND
0,1.0,11:55,Colts,Brandon Stokley 31 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
1,1.0,3:41,Broncos,Jason Elam 49 yard field goal,3,7
2,1.0,0:24,Colts,Marvin Harrison 46 yard pass from Peyton Manning (Mike Vanderjagt kick),3,14
3,2.0,7:28,Colts,Marvin Harrison 23 yard pass from Peyton Manning (Mike Vanderjagt kick),3,21
4,2.0,1:51,Colts,Brandon Stokley 87 yard pass from Peyton Manning (Mike Vanderjagt kick),3,28
5,2.0,0:00,Colts,Mike Vanderjagt 27 yard field goal,3,31
6,3.0,5:19,Colts,Reggie Wayne 7 yard pass from Peyton Manning (Mike Vanderjagt kick),3,38
7,3.0,0:55,Colts,Mike Vanderjagt 20 yard field goal,3,41
8,4.0,7:04,Broncos,Rod Smith 7 yard pass from Jake Plummer (Jason Elam kick),10,41
