,Quarter,Tm,Detail,PHI,PIT
0,1.0,Eagles,Hal Giancanelli 7 yard rush (Bobby Walston kick),7,0
1,1.0,Eagles,Jerry Williams 48 yard rush (Bobby Walston kick),14,0
2,2.0,Eagles,Bobby Walston 21 yard pass from Bobby Thomason (Bobby Walston kick),21,0
3,2.0,Steelers,Ray Mathews 11 yard pass from Jim Finks (Nick Bolkovac kick),21,7
4,4.0,Eagles,Pete Pihos 26 yard pass from Bobby Thomason (Bobby Walston kick),28,7
5,4.0,Eagles,Hal Giancanelli 8 yard pass from Bobby Thomason (Bobby Walston kick),35,7
