,Quarter,Time,Tm,Detail,MIN,GNB
0,1,8:25,Vikings,Gary Anderson 30 yard field goal,3,0
1,2,14:53,Packers,Ryan Longwell 24 yard field goal,3,3
2,2,10:03,Vikings,Cris Carter 12 yard pass from Daunte Culpepper (Gary Anderson kick),10,3
3,2,6:51,Packers,Ahman Green 5 yard pass from Brett Favre (Ryan Longwell kick),10,10
4,2,0:00,Vikings,Gary Anderson 48 yard field goal,13,10
5,3,8:48,Packers,Ryan Longwell 31 yard field goal,13,13
6,3,4:00,Vikings,Robert Smith 45 yard pass from Daunte Culpepper (Gary Anderson kick),20,13
7,3,3:32,Packers,Ahman Green 2 yard rush (Ryan Longwell kick),20,20
8,OT,11:21,Packers,Antonio Freeman 43 yard pass from Brett Favre,20,26
