,Quarter,Tm,Detail,DEN,PHO
0,1.0,Broncos,Karl Mecklenburg 23 yard defensive fumble return (David Treadwell kick),7,0
1,2.0,Broncos,David Treadwell 38 yard field goal,10,0
2,2.0,Broncos,Steve Sewell 14 yard pass from John Elway (David Treadwell kick),17,0
3,2.0,Broncos,David Treadwell 33 yard field goal,20,0
4,3.0,Broncos,Mel Bratton 17 yard pass from Bobby Humphrey (David Treadwell kick),27,0
5,3.0,Broncos,Clarence Kay 20 yard pass from John Elway (David Treadwell kick),34,0
6,4.0,Broncos,David Treadwell 35 yard field goal,37,0
