,Quarter,Tm,Detail,NYJ,CLE
0,2.0,Jets,Lam Jones 28 yard pass from Richard Todd (Pat Leahy kick),7,0
1,2.0,Browns,Matt Bahr 26 yard field goal,7,3
2,2.0,Jets,Bruce Harper 7 yard pass from Richard Todd (Pat Leahy kick),14,3
3,3.0,Browns,Calvin Hill 8 yard pass from Brian Sipe (Matt Bahr kick),14,10
4,4.0,Browns,Matt Bahr 20 yard field goal,14,13
