,Quarter,Tm,Detail,DEN,HOU
0,1.0,Oilers,Bubba McDowell special teams fumble recovery in end zone (Ian Howfield kick),0,7
1,2.0,Oilers,Allen Pinkett 1 yard rush (Ian Howfield kick),0,14
2,2.0,Oilers,Lorenzo White 1 yard rush (Ian Howfield kick),0,21
3,2.0,Oilers,Cris Dishman 19 yard defensive fumble return (Ian Howfield kick),0,28
4,2.0,Oilers,Haywood Jeffires 3 yard pass from Warren Moon (Ian Howfield kick),0,35
5,3.0,Broncos,Steve Sewell 3 yard pass from John Elway (David Treadwell kick),7,35
6,4.0,Broncos,Ricky Nattiel 70 yard pass from John Elway (David Treadwell kick),14,35
7,4.0,Oilers,Allen Pinkett 36 yard pass from Warren Moon (Ian Howfield kick),14,42
