,Quarter,Tm,Detail,SFO,DET
0,1.0,49ers,J.D. Smith 18 yard rush (Tommy Davis kick),7,0
1,2.0,49ers,Clyde Conner 37 yard pass from Y.A. Tittle (Tommy Davis kick),14,0
2,2.0,49ers,Tommy Davis 13 yard field goal,17,0
3,2.0,49ers,Tommy Davis 21 yard field goal,20,0
4,3.0,Lions,Howard Cassady 59 yard pass from Tobin Rote (Wayne Walker kick),20,7
5,3.0,49ers,Matt Hazeltine 40 yard fumble return (Tommy Davis kick),27,7
6,4.0,Lions,Nick Pietrosante 4 yard rush,27,13
7,4.0,49ers,J.D. Smith 1 yard rush (Tommy Davis kick),34,13
