,Quarter,Tm,Detail,CHI,TAM
0,1.0,Bears,Neal Anderson 1 yard rush (Kevin Butler kick),7,0
1,1.0,Bears,Neal Anderson 17 yard rush (Kevin Butler kick),14,0
2,1.0,Buccaneers,Donald Igwebuike 27 yard field goal,14,3
3,2.0,Bears,Brad Muster 40 yard pass from Mike Tomczak (Kevin Butler kick),21,3
4,2.0,Buccaneers,Donald Igwebuike 23 yard field goal,21,6
5,4.0,Buccaneers,"Safety, Goode tackled Wagner in end zone",21,8
6,4.0,Bears,Kevin Butler 36 yard field goal,24,8
7,4.0,Bears,Kevin Butler 43 yard field goal,27,8
8,4.0,Buccaneers,Frank Pillow 7 yard pass from Joe Ferguson (Ray Criswell kick),27,15
