,Quarter,Tm,Detail,CHI,PHI
0,1.0,Bears,Lakei Heimuli 9 yard pass from Mike Hohensee (Tim Lashar kick),7,0
1,2.0,Eagles,Dave Jacobs 27 yard field goal,7,3
2,2.0,Bears,Glen Kozlowski 20 yard pass from Mike Hohensee (Tim Lashar kick),14,3
3,2.0,Bears,Chris Brewer 1 yard rush (Tim Lashar kick),21,3
4,2.0,Bears,Anthony Mosley 9 yard blocked punt return (Tim Lashar kick),28,3
5,2.0,Bears,Don Kindt 3 yard pass from Mike Hohensee (Tim Lashar kick),35,3
