,Quarter,Time,Tm,Detail,KAN,DET
0,1.0,,Chiefs,Marcus Allen 1 yard rush (Pete Stoyanovich kick),7,0
1,2.0,3:49,Lions,Johnnie Morton 16 yard pass from Scott Mitchell (Jason Hanson kick),7,7
2,2.0,3:49,Lions,Mike Wells defensive fumble recovery in end zone (Jason Hanson kick),7,14
3,2.0,3:49,Chiefs,Chris Penn 17 yard pass from Rich Gannon (Pete Stoyanovich kick),14,14
4,3.0,3:49,Lions,Barry Sanders 13 yard rush (Jason Hanson kick),14,21
5,4.0,3:49,Chiefs,Derrick Walker 9 yard pass from Rich Gannon (Pete Stoyanovich kick),21,21
6,4.0,3:49,Lions,Jason Hanson 21 yard field goal,21,24
7,4.0,3:49,Chiefs,Marcus Allen 1 yard rush (Pete Stoyanovich kick),28,24
